time/s	I/mA	Ewe/V
7.688479805772658E+001	-3.0050252E-003	3.1249068E+000
7.704359805371496E+001	-3.0046434E-003	3.1184728E+000
7.718659805010248E+001	-3.0052161E-003	3.1170793E+000
7.731319804690429E+001	-3.0046434E-003	3.1214321E+000
7.752279804160935E+001	-3.0047072E-003	3.1170030E+000
7.774659803595569E+001	-3.0046434E-003	3.1173465E+000
7.785659803317685E+001	-3.0042615E-003	3.1138909E+000
7.801399802920059E+001	-3.0049616E-003	3.1197712E+000
7.827759802254150E+001	-3.0043887E-003	3.1218140E+000
7.845239801812568E+001	-3.0052799E-003	3.1174037E+000
7.866399801278021E+001	-3.0045798E-003	3.1219857E+000
7.901879800381721E+001	-3.0048343E-003	3.1191411E+000
7.934659799553629E+001	-3.0050252E-003	3.1210313E+000
7.950879799143877E+001	-3.0055980E-003	3.1206303E+000
7.965959798762924E+001	-3.0039430E-003	3.1184156E+000
7.982919798334478E+001	-3.0048981E-003	3.1187210E+000
7.997839797957568E+001	-3.0050252E-003	3.1183774E+000
8.021559797358350E+001	-3.0041342E-003	3.1166210E+000
8.044419796780858E+001	-3.0045160E-003	3.1210694E+000
8.058919796414557E+001	-3.0051528E-003	3.1188357E+000
8.073939796035120E+001	-3.0047705E-003	3.1150746E+000
8.083879795784014E+001	-3.0052161E-003	3.1175566E+000
8.093579795538972E+001	-3.0047072E-003	3.1177666E+000
8.103579795286350E+001	-3.0046434E-003	3.1166019E+000
8.119699794879125E+001	-3.0045160E-003	3.1110463E+000
8.136959794443101E+001	-3.0049616E-003	3.1128409E+000
8.154999793987372E+001	-3.0045798E-003	3.1152656E+000
8.171019793582673E+001	-3.0042615E-003	3.1159718E+000
8.181219793324999E+001	-3.0045160E-003	3.1160865E+000
8.198199792896048E+001	-3.0041977E-003	3.1157620E+000
8.213659792505496E+001	-3.0047072E-003	3.1161056E+000
8.229099792115449E+001	-3.0052161E-003	3.1181483E+000
8.248539791624353E+001	-3.0043253E-003	3.1169074E+000
8.268039791131741E+001	-3.0044522E-003	3.1100917E+000
8.285339790694707E+001	-3.0048343E-003	3.1153610E+000
8.308979790097510E+001	-3.0044522E-003	3.1127071E+000
8.333679789473535E+001	-3.0043253E-003	3.1167355E+000
8.348819789091067E+001	-3.0053435E-003	3.1149983E+000
8.374279788447893E+001	-3.0046434E-003	3.1115999E+000
8.392059787998733E+001	-3.0050890E-003	3.1132226E+000
8.410699787527847E+001	-3.0047705E-003	3.1125927E+000
8.427199787111022E+001	-3.0046434E-003	3.1149409E+000
8.440599786772509E+001	-3.0048343E-003	3.1128409E+000
8.456119786380441E+001	-3.0047705E-003	3.1145020E+000
8.470679786012624E+001	-3.0046434E-003	3.1129553E+000
8.486919785602367E+001	-3.0050890E-003	3.1142154E+000
8.507059785093588E+001	-3.0044522E-003	3.1143110E+000
8.521299784733856E+001	-3.0051528E-003	3.1160674E+000
8.536399784352398E+001	-3.0045798E-003	3.1163538E+000
8.553179783928499E+001	-3.0050252E-003	3.1146355E+000
8.571539783464686E+001	-3.0051528E-003	3.1145592E+000
8.592419782937213E+001	-3.0047072E-003	3.1120200E+000
8.610919782469864E+001	-3.0048343E-003	3.1123064E+000
8.625319782106089E+001	-3.0055346E-003	3.1127262E+000
8.646919781560428E+001	-3.0052161E-003	3.1128409E+000
8.663199781149160E+001	-3.0056618E-003	3.1142154E+000
8.678799780755071E+001	-3.0054708E-003	3.1125164E+000
8.695919780322583E+001	-3.0048343E-003	3.1129937E+000
8.709699779974471E+001	-3.0051528E-003	3.1060634E+000
8.725299779580382E+001	-3.0052161E-003	3.1088507E+000
8.754059778853843E+001	-3.0052161E-003	3.1090035E+000
8.769599778461270E+001	-3.0049616E-003	3.1083543E+000
8.781999778148020E+001	-3.0047705E-003	3.1107025E+000
8.800779777673597E+001	-3.0050890E-003	3.1106834E+000
8.814179777335085E+001	-3.0044522E-003	3.1108744E+000
8.833819776838936E+001	-3.0050252E-003	3.1127455E+000
8.853559776340262E+001	-3.0052799E-003	3.1125546E+000
8.866579776011349E+001	-3.0048981E-003	3.1147118E+000
8.881659775630396E+001	-3.0046434E-003	3.1142154E+000
8.901899775119091E+001	-3.0045160E-003	3.1116762E+000
8.916099774760369E+001	-3.0048981E-003	3.1104543E+000
8.928139774456213E+001	-3.0053435E-003	3.1101298E+000
8.941519774118206E+001	-3.0047072E-003	3.1102061E+000
8.958499773689255E+001	-3.0050252E-003	3.1125355E+000
8.984139773041534E+001	-3.0049616E-003	3.1103590E+000
9.006739772470610E+001	-3.0050252E-003	3.1120772E+000
9.027979771934042E+001	-3.0041977E-003	3.1134326E+000
9.044919771506102E+001	-3.0047072E-003	3.1128027E+000
9.060799771104939E+001	-3.0047072E-003	3.1083162E+000
9.075379770736618E+001	-3.0051528E-003	3.1085644E+000
9.092039770315751E+001	-3.0043887E-003	3.1090035E+000
9.106719769944903E+001	-3.0046434E-003	3.1077816E+000
9.125279769476037E+001	-3.0050252E-003	3.1082206E+000
9.149339768868231E+001	-3.0045798E-003	3.1100726E+000
9.165719768454437E+001	-3.0045798E-003	3.1098816E+000
9.173519768257393E+001	-3.0054073E-003	3.1118290E+000
9.199199767608661E+001	-3.0048343E-003	3.1115046E+000
9.216579767169605E+001	-3.0049616E-003	3.1133182E+000
9.238399766618386E+001	-3.0055980E-003	3.1119244E+000
9.260419766062114E+001	-3.0048981E-003	3.1096144E+000
9.287919765367405E+001	-3.0046434E-003	3.1099007E+000
9.312079764757073E+001	-3.0054073E-003	3.1104927E+000
9.329239764323574E+001	-3.0045798E-003	3.1103590E+000
9.345479763913318E+001	-3.0048981E-003	3.1084497E+000
9.358059763595520E+001	-3.0042615E-003	3.1077051E+000
9.373439763206989E+001	-3.0046434E-003	3.1094043E+000
9.397899762589077E+001	-3.0043253E-003	3.1094043E+000
9.415479762144969E+001	-3.0047072E-003	3.1057005E+000
9.431159761748859E+001	-3.0047072E-003	3.1098816E+000
9.449099761295656E+001	-3.0049616E-003	3.1076860E+000
